"DSA1203 - Practical car test pass rates by age (17-25 year olds), year and DTC",,,,,,,,,,
,,,,,,,,,,
Time Period Captured,,2007/08,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Numbers / Per cent
,,Male tests,,,Female tests ,,,Total tests,,
,,Conducted,Passes,Pass rate (%),Conducted,Passes,Pass rate (%),Conducted,Passes,Pass rate (%)
,,,,,,,,,,
Aberdeen North (Bridge of Don),,,,,,,,,,
,17,431,231,53.5962877,270,149,55.18518519,701,380,54.20827389
,18,200,112,56,242,127,52.47933884,442,239,54.07239819
,19,128,69,53.90625,159,70,44.02515723,287,139,48.43205575
,20,97,57,58.7628866,137,53,38.68613139,234,110,47.00854701
,21,73,35,47.94520548,103,51,49.51456311,176,86,48.86363636
,22,75,42,56,128,50,39.0625,203,92,45.32019704
,23,58,32,55.17241379,88,44,50,146,76,52.05479452
,24,56,33,58.92857143,96,41,42.70833333,152,74,48.68421053
,25,56,29,51.78571429,79,45,56.96202532,135,74,54.81481481
Aberfeldy,,,,,,,,,,
,18,10,7,70,6,1,16.66666667,16,8,50
Abergavenny,,,,,,,,,,
,17,881,521,59.13734393,794,439,55.28967254,1675,960,57.31343284
,18,437,228,52.17391304,507,242,47.73175542,944,470,49.78813559
,19,181,83,45.85635359,235,119,50.63829787,416,202,48.55769231
,20,109,63,57.79816514,119,54,45.37815126,228,117,51.31578947
,21,80,36,45,104,43,41.34615385,184,79,42.93478261
,22,76,41,53.94736842,70,35,50,146,76,52.05479452
,23,56,34,60.71428571,72,31,43.05555556,128,65,50.78125
,24,50,26,52,71,32,45.07042254,121,58,47.9338843
,25,39,21,53.84615385,55,29,52.72727273,94,50,53.19148936
Aberystwyth,,,,,,,,,,
,17,176,104,59.09090909,96,50,52.08333333,272,154,56.61764706
,18,69,39,56.52173913,54,31,57.40740741,123,70,56.91056911
,19,37,22,59.45945946,56,22,39.28571429,93,44,47.31182796
,20,32,20,62.5,58,27,46.55172414,90,47,52.22222222
,21,33,22,66.66666667,49,19,38.7755102,82,41,50
,22,24,14,58.33333333,25,8,32,49,22,44.89795918
,23,22,17,77.27272727,21,13,61.9047619,43,30,69.76744186
,24,11,5,45.45454545,28,15,53.57142857,39,20,51.28205128
,25,12,8,66.66666667,8,6,75,20,14,70
Airdrie,,,,,,,,,,
,17,550,245,44.54545455,329,156,47.41641337,879,401,45.62002275
,18,431,197,45.70765661,415,162,39.03614458,846,359,42.43498818
,19,206,82,39.80582524,298,111,37.24832215,504,193,38.29365079
,20,152,65,42.76315789,203,76,37.43842365,355,141,39.71830986
,21,133,57,42.85714286,161,68,42.23602484,294,125,42.5170068
,22,95,48,50.52631579,130,50,38.46153846,225,98,43.55555556
,23,104,41,39.42307692,134,56,41.79104478,238,97,40.75630252
,24,78,36,46.15384615,91,37,40.65934066,169,73,43.19526627
,25,80,43,53.75,79,33,41.7721519,159,76,47.79874214
Alness,,,,,,,,,,
,17,142,99,69.71830986,113,71,62.83185841,255,170,66.66666667
,18,75,40,53.33333333,100,47,47,175,87,49.71428571
,19,36,18,50,45,26,57.77777778,81,44,54.32098765
,20,29,14,48.27586207,21,8,38.0952381,50,22,44
,21,21,13,61.9047619,21,12,57.14285714,42,25,59.52380952
,22,16,10,62.5,33,19,57.57575758,49,29,59.18367347
,23,14,5,35.71428571,26,8,30.76923077,40,13,32.5
,24,19,14,73.68421053,20,10,50,39,24,61.53846154
,25,17,7,41.17647059,11,5,45.45454545,28,12,42.85714286
Alnwick,,,,,,,,,,
,17,228,141,61.84210526,234,120,51.28205128,462,261,56.49350649
,18,83,43,51.80722892,113,46,40.7079646,196,89,45.40816327
,19,37,16,43.24324324,50,17,34,87,33,37.93103448
,20,28,11,39.28571429,24,16,66.66666667,52,27,51.92307692
,21,25,12,48,18,11,61.11111111,43,23,53.48837209
,22,15,11,73.33333333,22,10,45.45454545,37,21,56.75675676
,23,7,4,57.14285714,18,7,38.88888889,25,11,44
,24,8,5,62.5,14,7,50,22,12,54.54545455
,25,18,9,50,22,9,40.90909091,40,18,45
Arbroath,,,,,,,,,,
,17,118,78,66.10169492,71,41,57.74647887,189,119,62.96296296
,18,53,30,56.60377358,71,44,61.97183099,124,74,59.67741935
,19,33,18,54.54545455,27,15,55.55555556,60,33,55
,20,20,13,65,32,17,53.125,52,30,57.69230769
,21,11,5,45.45454545,25,14,56,36,19,52.77777778
,22,9,8,88.88888889,20,9,45,29,17,58.62068966
,24,6,4,66.66666667,22,8,36.36363636,28,12,42.85714286
Ashford (Kent),,,,,,,,,,
,17,648,379,58.48765432,608,318,52.30263158,1256,697,55.49363057
,18,293,127,43.3447099,407,180,44.22604423,700,307,43.85714286
,19,126,52,41.26984127,148,68,45.94594595,274,120,43.79562044
,20,84,41,48.80952381,112,43,38.39285714,196,84,42.85714286
,21,65,29,44.61538462,88,39,44.31818182,153,68,44.44444444
,22,56,36,64.28571429,54,28,51.85185185,110,64,58.18181818
,23,55,28,50.90909091,66,28,42.42424242,121,56,46.28099174
,24,46,26,56.52173913,44,19,43.18181818,90,45,50
,25,42,22,52.38095238,44,17,38.63636364,86,39,45.34883721
Ashford (Middlesex),,,,,,,,,,
,17,696,397,57.04022989,572,321,56.11888112,1268,718,56.62460568
,18,433,216,49.88452656,403,215,53.34987593,836,431,51.55502392
,19,219,124,56.62100457,256,131,51.171875,475,255,53.68421053
,20,161,91,56.52173913,178,86,48.31460674,339,177,52.21238938
,21,152,77,50.65789474,147,71,48.29931973,299,148,49.49832776
,22,136,64,47.05882353,125,51,40.8,261,115,44.06130268
,23,146,69,47.26027397,125,65,52,271,134,49.44649446
,24,125,66,52.8,104,55,52.88461538,229,121,52.83842795
,25,131,67,51.14503817,110,50,45.45454545,241,117,48.54771784
Aylesbury,,,,,,,,,,
,17,780,409,52.43589744,624,331,53.04487179,1404,740,52.70655271
